ObservationTimeStart,OrbitRelative,Platform
2025-02-07T10:32:35.203,108,S2C
2025-02-10T10:42:22.786,8,S2C
2025-02-11T10:12:02.285,22,S2C
2025-02-14T10:21:48.158,65,S2C
2025-02-17T10:31:33.396,108,S2C
2025-02-20T10:41:18.782,8,S2C
2025-02-21T10:10:56.393,22,S2C
2025-02-24T10:20:47.181,65,S2C
