ObservationTimeStart,OrbitRelative,Platform
2024-11-29T10:34:02.410,108,S2A
2024-12-02T10:44:15.637,8,S2A
2024-12-03T10:14:04.339,22,S2A
2024-12-06T10:24:07.163,65,S2A
2024-12-09T10:34:27.388,108,S2A
2024-12-12T10:44:34.253,8,S2A
2024-12-13T10:14:23.716,22,S2A
